date,season,yr,mnth,hr,holiday,weekday,workingday,weather_condition,temp,humidity,windspeed,casual,total_users,year,month,is_weekend,holiday_or_weekend,casual_ratio
2011-01-01,1,0,1,0,0,6,0,1,0.24,0.81,0.0,3,16,2011,1,1,True,0.18749999998828126
2011-01-01,1,0,1,1,0,6,0,1,0.22,0.8,0.0,8,40,2011,1,1,True,0.199999999995
2011-01-01,1,0,1,2,0,6,0,1,0.22,0.8,0.0,5,32,2011,1,1,True,0.1562499999951172
2011-01-01,1,0,1,3,0,6,0,1,0.24,0.75,0.0,3,13,2011,1,1,True,0.2307692307514793
2011-01-01,1,0,1,4,0,6,0,1,0.24,0.75,0.0,0,1,2011,1,1,True,0.0
2011-01-01,1,0,1,5,0,6,0,2,0.24,0.75,0.0896,0,1,2011,1,1,True,0.0
2011-01-01,1,0,1,6,0,6,0,1,0.22,0.8,0.0,2,2,2011,1,1,True,0.9999999995
2011-01-01,1,0,1,7,0,6,0,1,0.2,0.86,0.0,1,3,2011,1,1,True,0.3333333332222222
2011-01-01,1,0,1,8,0,6,0,1,0.24,0.75,0.0,1,8,2011,1,1,True,0.124999999984375
2011-01-01,1,0,1,9,0,6,0,1,0.32,0.76,0.0,8,14,2011,1,1,True,0.571428571387755
2011-01-01,1,0,1,10,0,6,0,1,0.38,0.76,0.2537,12,36,2011,1,1,True,0.3333333333240741
2011-01-01,1,0,1,11,0,6,0,1,0.36,0.81,0.2836,26,56,2011,1,1,True,0.4642857142774235
2011-01-01,1,0,1,12,0,6,0,1,0.42,0.77,0.2836,29,84,2011,1,1,True,0.34523809523398524
2011-01-01,1,0,1,13,0,6,0,2,0.46,0.72,0.2985,47,94,2011,1,1,True,0.4999999999946808
2011-01-01,1,0,1,14,0,6,0,2,0.46,0.72,0.2836,35,106,2011,1,1,True,0.330188679242168
2011-01-01,1,0,1,15,0,6,0,2,0.44,0.77,0.2985,40,110,2011,1,1,True,0.36363636363305785
2011-01-01,1,0,1,16,0,6,0,2,0.42,0.82,0.2985,41,93,2011,1,1,True,0.440860215049023
2011-01-01,1,0,1,17,0,6,0,2,0.44,0.82,0.2836,15,67,2011,1,1,True,0.22388059701158386
2011-01-01,1,0,1,18,0,6,0,3,0.42,0.88,0.2537,9,35,2011,1,1,True,0.2571428571355102
2011-01-01,1,0,1,19,0,6,0,3,0.42,0.88,0.2537,6,37,2011,1,1,True,0.16216216215777943
2011-01-01,1,0,1,20,0,6,0,2,0.4,0.87,0.2537,11,36,2011,1,1,True,0.3055555555470679
2011-01-01,1,0,1,21,0,6,0,2,0.4,0.87,0.194,3,34,2011,1,1,True,0.08823529411505192
2011-01-01,1,0,1,22,0,6,0,2,0.4,0.94,0.2239,11,28,2011,1,1,True,0.39285714284311224
2011-01-01,1,0,1,23,0,6,0,2,0.46,0.88,0.2985,15,39,2011,1,1,True,0.3846153846055227
2011-01-02,1,0,1,0,0,0,0,2,0.46,0.88,0.2985,4,17,2011,1,1,True,0.235294117633218
2011-01-02,1,0,1,1,0,0,0,2,0.44,0.94,0.2537,1,17,2011,1,1,True,0.0588235294083045
2011-01-02,1,0,1,2,0,0,0,2,0.42,1.0,0.2836,1,9,2011,1,1,True,0.11111111109876542
2011-01-02,1,0,1,3,0,0,0,2,0.46,0.94,0.194,2,6,2011,1,1,True,0.33333333327777775
2011-01-02,1,0,1,4,0,0,0,2,0.46,0.94,0.194,2,3,2011,1,1,True,0.6666666664444444
2011-01-02,1,0,1,6,0,0,0,3,0.42,0.77,0.2985,0,2,2011,1,1,True,0.0
2011-01-02,1,0,1,7,0,0,0,2,0.4,0.76,0.194,0,1,2011,1,1,True,0.0
2011-01-02,1,0,1,8,0,0,0,3,0.4,0.71,0.2239,0,8,2011,1,1,True,0.0
2011-01-02,1,0,1,9,0,0,0,2,0.38,0.76,0.2239,1,20,2011,1,1,True,0.0499999999975
2011-01-02,1,0,1,10,0,0,0,2,0.36,0.81,0.2239,7,53,2011,1,1,True,0.13207547169562123
2011-01-02,1,0,1,11,0,0,0,2,0.36,0.71,0.2537,16,70,2011,1,1,True,0.22857142856816326
2011-01-02,1,0,1,12,0,0,0,2,0.36,0.66,0.2985,20,93,2011,1,1,True,0.2150537634385478
2011-01-02,1,0,1,13,0,0,0,2,0.36,0.66,0.1343,11,75,2011,1,1,True,0.1466666666647111
2011-01-02,1,0,1,14,0,0,0,3,0.36,0.76,0.194,4,59,2011,1,1,True,0.06779661016834243
